S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
241C,United States,The Grapevine Escape,Immersive,Russell Sebastian,"The Grapevine Escape is a fun, interactive team building exercise where participants solve puzzles in order to escape a locked room."
242C,United Kingdom,Twelfth Night Or What You Will,Plays,Yellowbelly Theatre,Yellowbelly Theatre needs your help to bring this incredible play of lovelust and mistaken identity to life in our debut performance!
243C,United States,We Will Survive!,Theater,Devon Kasper,Theater provides a safe platform for our young people to explore their potentialtalent and unlimited possibilities!
244C,United States,The Judgment Of Paris,Plays,Peter Bruckner,The Judgement of Paris is an excitinginspirational poem set to run Oct. 23 & 4 at Plays & Playersbut we need funding and fans.
245C,United States,"The Runaways Present ""The Party House""",Experimental,The Runaways Lab Theatre,Olivia Lilley & a cast of 14 take her scattered memories of 211 S. Nevilleand resurrect them as an originalcollaborative fiction.
246C,United States,Two Genius Husbands At Dixon Place,Experimental,The Poetry Society Of New York,TWO GENIUS HUSBANDS is a queer & contemporary farce about the possibility of genius and the simultaneous impossibility of geniuses.
247C,United Kingdom,Temper Theatre Present 'Tribe',Festivals,Finn Morrell,We are re-developing our show 'TRIBE' and taking it to the Edinburgh fringe festival this summer. We need your help to get us there!
248C,United Kingdom,"The Act: Circus, Theatre And Murder Mystery",Immersive,Naomi Smyth,Freaks and clowns gather in a smoky room for a slice of nostalgia. Some pursue the truth- who will take the fall? Who killed our Angel?
249C,United States,Karloff: A New One-Person Play,Theater,Randy Bowser,"Monstrously engaging tribute to Boris ""Frankenstein"" Karloff.  He sings!  He dances!  He growls!  It's Gooooooood!"
250C,United States,Bring I Dreamed Of Rats To Dell'Arte International!,Theater,Terence Cranendonk,Terence Cranendonk is invited to perform his hilarious one-man tour de force at Dell'Arte International's 40th Anniversary Celebration.
251C,United States,"Butcher Holler Here We Come, Nyc Premiere",Immersive,Aztec Economy,"Aztec Economy finally brings Butcher Holler Here We Come to NYC after successful runs in Texas, Ohio, Florida, Louisiana, & Maryland."
252C,United States,Indigo Grey Immersive Show Experience - Staff Pick!,Immersive,Hammerstep,"Blurring lines between today/tomorrowaudience/actortechnology/reality in a theatrical, walkthrough, ""Digital Reality Experience"""
253C,United Kingdom,Open Letter Theatre Presents 'Boys' By Ella Hickson,Plays,George Naylor,Open Letter Theatre presents 'Boys' by Ella Hicksonat 2015's Edinburgh Fringe Festival! Four studentsone flatone last party!
254C,United States,This Property Is Condemned,Theater,Helyn Rain Messenger,"Live and breathing music sweeping through three short plays by Tennessee Williams, interwoven with folk art and libations for all."
255C,United States,Lol: The End,Theater,Uosato,"LOL: The End is a new show by a family of clowns about natural and human-made disasters, premiering in NYC in February."
256C,United States,Pizza Man,Theater,Lana Russell,Three performances of Darlene Craviotto's fantastic dark comedy Pizza Man at the Red Room Theater on March 1516 and 17th 2012 at 8pm
257C,United States,"""Now I'M Fine"" By Ahamefule J. Oluo",Experimental,Ahamefule J. Oluo,"""Now I'm Fine"" is a piece of experimental musical theater that I have been working on for several years and will debut this December!"
258C,United States,Women Of The Pacific Northwest,Theater,Jackie Dandeneau,"A touching, humorous exploration of the women that shaped Humboldt Countyreplete with original music and outstanding women."
259C,United States,The La Mama Cantata-On Tour!,Theater,La Mama,La MaMa Cantata is the origin story of La MaMa told through song. Writtencomposed and directed by Elizabeth Swados.
260C,United States,Paradise Lost ... With Puppets,Theater,Eric Buck,"A puppetish memoir of Satan, falling from Heaven, rising in Hell, ruining Eden, and suffering punishment for all that."
261C,United States,Animals Premieres The Baroness Is The Future !,Theater,Ben Gansky,"A hairsexy, crotchscratching, funsettling investigation of what happens when creativity and responsibility get in a fight."
262C,United States,"Phantom Limb's ""69°S."" - The Final Stage",Theater,Arktype & Thomas O. Kriegsmann,"A new vision of theatre combining marionettes, dance, ice, and The Kronos Quartet in the heart of Antarctica with Ernest Shackleton."
263C,United States,Apollinaire In The Park,Theater,Danielle Jacques,Apollinaire presents a free outdoor moving Rosencrantz & Guildenstern are Dead performed in Spanish one night and English the next.
264C,United States,Sustainable Theatre Project And The Life-Cycle Of Seller Door: A Play Of Consequences,Plays,Sustainable Theatre Project,SELLER DOOR is a new comedy about a Barkerthe people he gets to go through a door and what happens to those people after they go through the door.
265C,United Kingdom,Touretteshero: Backstage In Biscuit Land,Theater,Jess Thom,A new show for the Fringe. Jess has Tourettes; she's neurologically incapable of staying on script and that's where the fun begins.
266C,United Kingdom,The Red Shoes,Spaces,Catherine Rice,"We're aiming to launch a production involving circus performersmusicians and artists in a new space, creating a night of live art."
267C,United States,Brookledge Follies 2014 Season And Beyond!,Theater,Erika Larsen,The Brookledge Follies is a Variety Arts collective. This project will restore Brookledge theater and allow the Follies to flourish.
268C,United States,Simple Matters Brings Big Laughs To Edinburgh And The World,Theater,Dreamawakeprod,SIMPLE MATTERS is Slapstick Surrealism at it's finest. Starring alumni from Cirque Du SoleilDell'Arte School+ S.F. Clown Conservatory
269C,United States,Campo Maldito,Plays,People Of Interest,Help us bring our production of Campo Maldito to New York AND San Francisco!
270C,United States,"Bring ""Making Love Over There"" To The 2012 Hollywood Fringe",Theater,Dana Murphy,A series of snapshotswith original music & the mad joy of dress-updozens of characters are trying to remember what Love looks like.
271C,United States,Splatterphilly Fringe Show 2014,Theater,Sean Connolly,Splatter is a darkdisturbingand surprisingly funny thriller. Directed by Sean Connolly for the 2014 Philly Fringe Festival.
272C,United Kingdom,Super Ordinary,Theater,Jenny Lee,"An illustrated musical about an ordinary man reacting with extraordinary dignity, humour and courage in terrifying times."
273C,United States,Equus At Frenetic Theatre,Plays,Matthew Logan,Equus is the story of a psychiatrist treating a teenaged boy who blinds six horses with a metal spike.
274C,United Kingdom,The Scufflebox: Busking Street Shakespeare,Theater,Scufflebox Theatre Company,Scufflebox Theatre are busking Shakespeare on a street near you! To carry our stage and our set with uswe need a box! A Scufflebox!
275C,United Kingdom,Glass Mountain: An Original Fairytale,Plays,Broken Glass Theatre Company,"A new tale of witches, fairies, cat-hunters and and bone-boilers from London theatre company Broken Glass."
276C,United States,Teach The Whistlers How To Fly!,Theater,Meg Taintor,Can you spare $10? Help the Whistlers fund the most challenging project yet - an adaptation of Ovid's THE METAMORPHOSEScomplete with aerial silks!!!
277C,United States,Insectinside,Theater,Grounded Aerial,Immerse yourself...  A stunning insect realm unfurling over your head....  A raw and volatile love story.
278C,United States,Stalking Christopher Walken,Theater,Brickabrack,A dance theatre journey into the dark corners of Christopher Walken's dreams... revealing what really happened to Natalie Wood.
279C,United States,The Tik-Tok Man Of Oz Stage Musical,Theater,Eric Shanower,The hit musical by L. Frank Baum returns to San DiegoCAfor one night only at Winkie Con 50 on August 92014
280C,United States,Ain'T She Brave Fringenyc 2014 Project,Plays,Ntare Ali & Erika Gault,An emotionally-charged journey through the history of black women in America told in reverse.
281C,United Kingdom,The Hive' - By The Human Zoo Theatre Company,Theater,Florence O'Mahony,The Human Zoo's new touring production. A love story about rediscovering human connection in a coldmechanical world.
282C,United States,Destiny Is Judd Nelson: A New Play At Fringenyc,Plays,Big Theatre Company,What is destiny? Explore it with us this August at FringeNYC.
283C,United States,Roll Out: ! Death 40-Feet Tall !,Theater,Bgf Central,A story of two best friendsgiant robotsand the quest to become your own Prime.
284C,United States,The Moon Play,Plays,Crash Theatre,THE MOON PLAY is a new play written by Carolyn Gilliam. The play follows an astronaut on the moon who has lost his reason to explore.
285C,United States,Moreau Horrors,Theater,Jess Wilson,The Moreau Horrors is an original musical adaptation of the HG Wells' Sci-Fi classic The Island of Dr. Moreau. Ohand puppets!
286C,United States,Mystery Mark,Experimental,Viscosity Theatre,A cartoon exorcism! An illustrated book and performance about letting goin which an anxious man is stalked by his childhood TV hero.
287C,Ireland,Mobile Theater For Kids,Plays,Rana,Able to travel around and bring joy to kids in refugees and homeless shelters.
288C,United States,"Alexandra Petri's ""The Scrum""  - Field Trip Theatre",Plays,Field Trip Theatre,"Field Trip Theatre has  commissioned Alexandra Petri to write a world premiere play set in DC,  ""The Scrum"","
289C,United States,On Our Way,Theater,On Our Way,A performing arts collective aimed to give a voice to young creators/artists/performers through unique and original works.
290C,United States,A Winter Cabaret: Concert 2015,Theater,Braxton Kiser,One hour and thirty minutes of fun packaged between 9 people. This is our first winter CCbut our second CC this year.
291C,United Kingdom,Medusa's Trap By Erik Satie: Rarely Staged French Classic,Experimental,James Ellis,"Before the Satie 150 b day next yearI wanted to stage his pre-surrealist play. A mix of theatre, dance & musicit's a rare delight!"
292C,United States,When Johnny Comes Marching Home,Plays,A.S. Freeman,"A meta-theatrical retelling of Chekhov's Three Sisters, framed with Civil War Hymns, Dance, and wild theatricality."
294C,United States,A Handheld Tablet Time Machine:  The E-History Guidebook,Nonfiction,Aaron Killian,Civil War battlefield tour company designs cutting edge guidebook to interactively immerse users in American history.
